animal_id,breed,intake_type,intake_subtype,intake_date,intake_time,intake_condition,outcome,outcome_date,outcome_time,impound_num
A1008559,GERM SHEPHERD,CONFISCATED,KEEP SAFE,09/16/2017,00:27:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,10/02/2017,18:06:00,K17-393870
A0996766,CHIHUAHUA LH,CONFISCATED,KEEP SAFE,06/03/2017,16:34:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,06/05/2017,16:54:00,K17-382439
A0771604,BORDER COLLIE,OWNER SURRENDER,GENERAL,07/24/2017,12:01:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,EUTHANIZED,07/29/2017,10:03:00,K17-388372
A0992505,GERM SHEPHERD,STRAY,AT LARGE,05/08/2017,14:50:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOPTION,05/15/2017,17:44:00,K17-379327
A1000140,PIT BULL,STRAY,AT LARGE,06/29/2017,09:05:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,07/03/2017,18:16:00,K17-385500
A0990823,CHIHUAHUA SH,OWNER SURRENDER,GENERAL,04/26/2017,17:58:00,HEALTHY,TRANSFER,05/01/2017,12:45:00,K17-377949
A0986262,BOXER,STRAY,POSSIBLY OWNED,03/26/2017,01:45:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,03/30/2017,16:48:00,K17-374840
A0964614,PIT BULL,STRAY,AT LARGE,11/11/2016,12:29:00,UNHEALTHY UNTREATABLE CONTAGIOUS,EUTHANIZED,11/11/2016,13:23:00,K16-364104
A0985518,PIT BULL,OWNER SURRENDER,GENERAL,03/20/2017,15:24:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,EUTHANIZED,03/21/2017,15:09:00,K17-374370
A0998770,GERM SHEPHERD,OWNER SURRENDER,GENERAL,06/16/2017,14:13:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,EUTHANIZED,06/23/2017,20:26:00,K17-384027
A0967748,GERM SHEPHERD,OWNER SURRENDER,GENERAL,12/04/2016,13:17:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,12/11/2016,17:04:00,K16-365842
A0983671,GERM SHEPHERD,STRAY,AT LARGE,03/06/2017,14:49:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,03/10/2017,18:26:00,K17-373036
A0964613,PIT BULL,STRAY,AT LARGE,11/11/2016,12:29:00,UNHEALTHY UNTREATABLE CONTAGIOUS,EUTHANIZED,11/11/2016,13:23:00,K16-364103
A0985036,CHIHUAHUA SH,OWNER SURRENDER,GENERAL,09/14/2017,08:25:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,09/16/2017,17:06:00,K17-393683
A1007213,SHIH TZU,CONFISCATED,KEEP SAFE,09/02/2017,07:39:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,09/02/2017,07:57:00,K17-392559
A0994732,MALTESE,STRAY,CONFINED,05/21/2017,13:37:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,05/27/2017,10:22:00,K17-380852
A1005793,POODLE STND,LOST REPORT,OTHER,08/19/2017,12:14:00,HEALTHY,LOST REPORT,08/30/2017,06:51:00,K17-391158
A0964609,PIT BULL,STRAY,AT LARGE,11/11/2016,12:29:00,UNHEALTHY UNTREATABLE CONTAGIOUS,EUTHANIZED,11/11/2016,13:21:00,K16-364099
A0995869,MIN PINSCHER,STRAY,AT LARGE,05/29/2017,14:27:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,06/08/2017,13:36:00,K17-381800
A1009344,COCKER SPAN,STRAY,AT LARGE,09/25/2017,07:52:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,09/25/2017,07:53:00,K17-394749
