animal_id,breed,intake_type,intake_subtype,intake_date,intake_time,intake_condition,outcome,outcome_date,outcome_time,impound_num
A0001656,LABRADOR RETR,OWNER SURRENDER,GENERAL,07/21/2016,12:39:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,EUTHANIZED,07/21/2016,13:22:00,K16-353536
A0014681,PIT BULL,OWNER SURRENDER,GENERAL,02/06/2016,16:39:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,TRANSFER,03/31/2016,18:25:00,K16-338470
A0117773,PIT BULL,OWNER SURRENDER,EUTHANASIA REQUESTED,07/05/2016,12:19:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,07/05/2016,19:26:00,K16-351923
A0177153,GERM SHEPHERD,OWNER SURRENDER,EUTHANASIA REQUESTED,10/23/2015,13:01:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,10/23/2015,14:17:00,K15-330646
A0180656,LABRADOR RETR,STRAY,AT LARGE,10/07/2015,15:11:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,EUTHANIZED,10/11/2015,12:45:00,K15-329490
A0218827,PITBULL,OWNER SURRENDER,EUTHANASIA REQUESTED,07/05/2016,12:19:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,07/05/2016,18:50:00,K16-351925
A0234445,PIT BULL,OWNER SURRENDER,EUTHANASIA REQUESTED,03/26/2016,13:08:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,03/26/2016,13:56:00,K16-341965
A0237816,ROTTWEILER,LOST REPORT,OTHER,11/22/2015,13:47:00,HEALTHY,LOST REPORT,12/18/2015,11:28:00,K15-333158
A0249526,GOLDEN RETR,OWNER SURRENDER,EUTHANASIA REQUESTED,10/22/2015,16:39:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,10/22/2015,16:58:00,K15-330567
A0249638,BEAGLE,OWNER SURRENDER,EUTHANASIA REQUESTED,12/07/2015,11:00:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,EUTHANIZED,12/07/2015,12:41:00,K15-334140
