animal_id,breed,intake_type,intake_subtype,intake_date,intake_time,intake_condition,outcome,outcome_date,outcome_time,impound_num
A1011757,PIT BULL,STRAY,CONFINED,10/17/2017,23:39:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,10/18/2017,11:42:00,K17-397307
A1012101,GERM SHEPHERD,STRAY,AT LARGE,10/21/2017,16:21:00,HEALTHY,ADOPTION,10/25/2017,17:40:00,K17-397683
A1013777,PIT BULL,STRAY,AT LARGE,11/07/2017,17:32:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,EUTHANIZED,11/18/2017,09:59:00,K17-399392
A1014314,PATTERDALE TERR,STRAY,AT LARGE,11/14/2017,11:06:00,HEALTHY,TRANSFER,11/18/2017,10:47:00,K17-399998
A1017711,PIT BULL,STRAY,AT LARGE,12/27/2017,14:20:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,EUTHANIZED,01/06/2018,17:15:00,K17-403791
A0000099,BEAGLE,STRAY,CONFINED,01/03/2018,13:15:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOPTION,01/05/2018,12:47:00,K18-404363
A0001609,CHIHUAHUA LH,STRAY,AT LARGE,11/23/2017,09:59:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,11/23/2017,09:40:00,K17-400889
A0001974,FOX TERR WIRE,OWNER SURRENDER,GENERAL,01/18/2018,13:32:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,EUTHANIZED,01/18/2018,14:18:00,K18-405756
A0001994,CHIHUAHUA SH,OWNER SURRENDER,GENERAL,09/29/2018,12:15:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,10/02/2018,17:54:00,K18-434248
A0124073,GOLDEN RETR,OWNER SURRENDER,EUTHANASIA REQUESTED,01/03/2018,12:51:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,01/03/2018,13:15:00,K18-404355
A0133065,BASSET HOUND,STRAY,CONFINED,10/31/2017,12:15:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,11/01/2017,16:52:00,K17-398584
A0157242,POODLE STND,STRAY,CONFINED,10/12/2017,14:43:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,10/12/2017,15:01:00,K17-396781
A0175859,GERM SHEPHERD,STRAY,POSSIBLY OWNED,11/15/2017,16:30:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,11/16/2017,14:09:00,K17-400156
A0178985,ROTTWEILER,CONFISCATED,QUARANTINE,03/10/2018,14:34:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,RETURNED TO OWNER,05/14/2018,18:25:00,K18-410466
A0212682,POMERANIAN,STRAY,AT LARGE,11/14/2017,11:59:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,11/14/2017,12:01:00,K17-400013
A0248802,LABRADOR RETR,OWNER SURRENDER,EUTHANASIA REQUESTED,05/21/2018,11:24:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,05/21/2018,17:06:00,K18-418093
A0326605,CHOW CHOW,STRAY,AT LARGE,07/07/2018,22:58:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,RETURNED TO OWNER,07/08/2018,12:43:00,K18-424224
A0350792,SCHNAUZER MIN,STRAY,AT LARGE,11/25/2017,09:29:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,11/25/2017,09:44:00,K17-401011
A0352163,CHIHUAHUA SH,STRAY,AT LARGE,09/18/2018,09:34:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,09/18/2018,09:53:00,K18-432932
A0447325,CHIHUAHUA SH,OWNER SURRENDER,EUTHANASIA REQUESTED,11/24/2017,15:41:00,UNHEALTHY UNTREATABLE CONTAGIOUS,EUTHANIZED,11/24/2017,16:13:00,K17-400980
A0455389,POODLE MIN,OWNER SURRENDER,EUTHANASIA REQUESTED,10/08/2017,12:32:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,10/08/2017,12:51:00,K17-396272
A0458422,MIXED,STRAY,AT LARGE,04/21/2018,16:46:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,04/22/2018,10:35:00,K18-414946
A0466305,GOLDEN RETR,STRAY,AT LARGE,12/04/2017,09:03:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,12/04/2017,09:08:00,K17-401750
A0466677,BOSTON TERRIER,STRAY,POSSIBLY OWNED,10/25/2017,10:32:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,11/12/2017,00:00:00,K17-398031
A0473969,CHIHUAHUA SH,OWNER SURRENDER,DEAD ON ARRIVAL,06/17/2018,12:15:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,DEAD ON ARRIVAL,06/17/2018,12:22:00,K18-421440
A0481750,WELSH TERRIER,CONFISCATED,QUARANTINE,07/05/2018,15:13:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,RETURNED TO OWNER,07/15/2018,16:18:00,K18-423879
A0495025,PIT BULL,OWNER SURRENDER,EUTHANASIA REQUESTED,06/14/2018,18:44:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,EUTHANIZED,06/15/2018,11:57:00,K18-421152
A0503166,BEAGLE,OWNER SURRENDER,DEAD ON ARRIVAL,10/12/2017,16:06:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,DEAD ON ARRIVAL,10/12/2017,16:23:00,K17-396787
A0503179,BORDER COLLIE,STRAY,AT LARGE,01/20/2018,12:51:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,01/20/2018,15:24:00,K18-405954
A0503388,PIT BULL,STRAY,POSSIBLY OWNED,08/25/2018,14:14:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,08/31/2018,16:21:00,K18-430278
A0504213,CHIHUAHUA SH,OWNER SURRENDER,GENERAL,04/14/2018,09:55:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,EUTHANIZED,04/14/2018,10:10:00,K18-414096
A0505526,GERM SHEPHERD,STRAY,POSSIBLY OWNED,10/04/2017,20:38:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,RETURNED TO OWNER,10/14/2017,14:01:00,K17-395937
A0509093,GERM SHEPHERD,OWNER SURRENDER,EUTHANASIA REQUESTED,05/18/2018,17:10:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,05/18/2018,17:33:00,K18-417759
A0510405,PEKINGESE,STRAY,AT LARGE,04/06/2018,09:49:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,04/06/2018,09:49:00,K18-413318
A0510405,PEKINGESE,STRAY,AT LARGE,02/01/2018,11:21:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,02/01/2018,13:38:00,K18-407096
A0510842,CHIHUAHUA SH,OWNER SURRENDER,GENERAL,08/03/2018,13:33:00,TREATABLE MANAGEABLE CONTAGIOUS,TRANSFER,08/24/2018,16:28:00,K18-427564
A0514062,BEAGLE,OWNER SURRENDER,EUTHANASIA REQUESTED,06/21/2018,12:59:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,06/21/2018,15:34:00,K18-421976
A0514722,GERM SHEPHERD,OWNER SURRENDER,EUTHANASIA REQUESTED,05/16/2018,18:30:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,EUTHANIZED,05/16/2018,21:08:00,K18-417569
A0517397,GERM SHEPHERD,STRAY,CONFINED,03/02/2018,11:06:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,03/04/2018,12:49:00,K18-409626
A0519251,LABRADOR RETR,STRAY,AT LARGE,08/09/2018,12:23:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,RETURNED TO OWNER,08/10/2018,16:03:00,K18-428248
A0521896,COLLIE SMOOTH,STRAY,POSSIBLY OWNED,08/31/2018,11:13:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,09/06/2018,18:10:00,K18-430877
A0522421,POODLE MIN,OWNER SURRENDER,GENERAL,12/24/2017,12:09:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,TRANSFER,12/27/2017,15:18:00,K17-403582
A0522782,CHIHUAHUA SH,STRAY,AT LARGE,11/25/2017,11:01:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,11/25/2017,11:07:00,K17-401050
A0523435,GERM SHEPHERD,STRAY,AT LARGE,04/18/2018,09:39:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,04/18/2018,09:44:00,K18-414592
A0526655,SHIH TZU,STRAY,AT LARGE,11/25/2017,11:11:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,11/25/2017,11:21:00,K17-401054
