animal_id,breed,intake_type,intake_subtype,intake_date,intake_time,intake_condition,outcome,outcome_date,outcome_time,impound_num
A0008962,LABRADOR RETR,CONFISCATED,KEEP SAFE,09/24/2015,15:50:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,EUTHANIZED,10/04/2015,12:22:00,K15-328347
A0121376,GERM SHEPHERD,STRAY,CONFINED,05/01/2015,12:09:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,EUTHANIZED,05/03/2015,11:53:00,K15-314218
A0157434,ROTTWEILER,OWNER SURRENDER,DEAD ON ARRIVAL,12/03/2014,20:06:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,DEAD ON ARRIVAL,12/04/2014,12:00:00,K14-302641
A0179837,CHOW CHOW,OWNER SURRENDER,GENERAL,04/27/2015,11:37:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,EUTHANIZED,04/27/2015,00:00:00,K15-313834
A0183589,AUST CATTLE DOG,OWNER SURRENDER,GENERAL,06/01/2015,15:47:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,06/01/2015,00:00:00,K15-317795
A0186874,LABRADOR RETR,OWNER SURRENDER,EUTHANASIA REQUESTED,02/04/2015,12:56:00,UNHEALTHY UNTREATABLE CONTAGIOUS,EUTHANIZED,02/04/2015,13:33:00,K15-307265
A0187667,LABRADOR RETR,OWNER SURRENDER,EUTHANASIA REQUESTED,08/15/2015,14:45:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,08/15/2015,15:16:00,K15-325035
A0228501,CATAHOULA,OWNER SURRENDER,EUTHANASIA REQUESTED,09/17/2015,11:11:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,09/17/2015,17:08:00,K15-327783
A0233610,AMER BULLDOG,OWNER SURRENDER,EUTHANASIA REQUESTED,07/23/2015,17:38:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,07/23/2015,18:02:00,K15-323205
A0234756,PIT BULL,OWNER SURRENDER,EUTHANASIA REQUESTED,08/06/2015,11:32:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,08/06/2015,12:39:00,K15-324236
A0235711,IBIZAN HOUND,CONFISCATED,KEEP SAFE,06/03/2015,21:35:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,06/05/2015,12:35:00,K15-318073
A0261109,DACHSHUND,OWNER SURRENDER,EUTHANASIA REQUESTED,10/30/2014,11:17:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,10/30/2014,12:01:00,K14-299897
A0266380,ROTTWEILER,OWNER SURRENDER,EUTHANASIA REQUESTED,02/18/2015,12:08:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,02/18/2015,12:54:00,K15-308188
A0275199,SHIH TZU,OWNER SURRENDER,GENERAL,12/03/2014,13:09:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,12/03/2014,14:17:00,K14-302599
A0312107,PIT BULL,OWNER SURRENDER,EUTHANASIA REQUESTED,04/17/2015,16:09:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,04/17/2015,16:40:00,K15-312943
A0319503,MIN PINSCHER,OWNER SURRENDER,GENERAL,02/04/2015,11:00:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,02/05/2015,15:36:00,K15-307244
A0321574,LABRADOR RETR,OWNER SURRENDER,EUTHANASIA REQUESTED,12/01/2014,12:58:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,12/01/2014,13:56:00,K14-302421
A0322349,DACHSHUND,CONFISCATED,KEEP SAFE,06/03/2015,21:35:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,06/05/2015,12:31:00,K15-318077
A0335360,CHIHUAHUA SH,OWNER SURRENDER,EUTHANASIA REQUESTED,09/09/2015,10:58:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,09/09/2015,11:43:00,K15-327114
A0336870,AUST SHEPHERD,CONFISCATED,KEEP SAFE,02/04/2015,19:19:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,02/05/2015,15:48:00,K15-307314
A0337666,RAT TERRIER,OWNER SURRENDER,EUTHANASIA REQUESTED,05/13/2015,17:08:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,05/13/2015,17:29:00,K15-315581
A0346530,CHIHUAHUA SH,OWNER SURRENDER,EUTHANASIA REQUESTED,10/24/2014,11:09:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,10/24/2014,11:42:00,K14-299414
A0349615,CHOW CHOW,STRAY,AT LARGE,04/08/2015,12:44:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,EUTHANIZED,04/22/2015,17:56:00,K15-312051
A0350222,LABRADOR RETR,OWNER SURRENDER,GENERAL,07/07/2015,11:52:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,07/07/2015,12:29:00,K15-321681
A0350630,PAPILLON,OWNER SURRENDER,EUTHANASIA REQUESTED,03/02/2015,15:32:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,EUTHANIZED,03/02/2015,16:04:00,K15-308963
A0350992,LABRADOR RETR,LOST REPORT,OTHER,03/26/2015,14:50:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,LOST REPORT,03/26/2015,14:12:00,K15-305671
A0389548,LABRADOR RETR,OWNER SURRENDER,EUTHANASIA REQUESTED,10/16/2014,14:36:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,EUTHANIZED,10/16/2014,15:14:00,K14-298772
A0395415,POODLE MIN,OWNER SURRENDER,GENERAL,05/23/2015,12:05:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,EUTHANIZED,05/23/2015,18:16:00,K15-316817
A0401026,POODLE MIN,OWNER SURRENDER,GENERAL,04/20/2015,11:28:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,05/12/2015,11:45:00,K15-313186
A0401026,POODLE MIN,STRAY,POSSIBLY OWNED,07/23/2015,20:40:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,TRANSFER,08/11/2015,17:55:00,K15-323221
A0404333,BORDER COLLIE,CONFISCATED,KEEP SAFE,03/03/2015,17:39:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RETURNED TO OWNER,03/04/2015,15:18:00,K15-309085
A0420668,CHIHUAHUA SH,STRAY,POSSIBLY OWNED,04/07/2015,14:48:00,HEALTHY,RETURNED TO OWNER,04/07/2015,17:05:00,K15-311964
